oclDeviceQuery, Platform Name = NVIDIA CUDA, Platform Version = OpenCL 1.2 CUDA 11.0.197, SDK Revision = 7027912, NumDevs = 1, Device = Quadro P2000
oclDeviceQuery, Platform Name = NVIDIA CUDA, Platform Version = OpenCL 1.2 CUDA 11.0.197, SDK Revision = 7027912, NumDevs = 1, Device = Quadro P2000
oclDeviceQuery, Platform Name = NVIDIA CUDA, Platform Version = OpenCL 1.2 CUDA 11.0.197, SDK Revision = 7027912, NumDevs = 1, Device = Quadro P2000
